Nombre,Año,Edad,Duración,Genero,Director,Actores,País,IMDb,Plataforma
Bob Esponja: Un héroe al rescate,2020,TODOS LO,95 min,"Comedias, Para toda la familia",Tim Hill,"Tom Kenny, Bill Fagerbakke, Rodger Bumpass, Mr. Lawrence, Keanu Reeves, Clancy Brown, Carolyn Lawrence, Matt Berry, Jill Talley, Mary Jo Catlett","Estados Unidos, Corea del Sur",6.4/10,Netflix
Brooklyn Nine-Nine,2019,13+,6 temporadas,"Comedias, Estadounidenses, Policiacas",NA,"Andy Samberg, Andre Braugher, Stephanie Beatriz, Terry Crews, Melissa Fumero, Joe Lo Truglio, Chelsea Peretti, Dirk Blocker, Joel McKinnon Miller",Estados Unidos,8.4/10,Netflix
Carmel: ¿Quién mató a María Marta?,2020,13+,1 temporada,"Docuseries, Extranjeras, Policiacas",Alejandro Hartmann,NA,NA,NA,Netflix
Operación Feliz Navidad,2020,7+,96 min,"Comedias, Para toda la familia, Románticas",Martin Wood,"Kat Graham, Alexander Ludwig, Virginia Madsen, Janet Kidder, Jeff Joseph, Bethany Brown, Trezzo Mahoro, Rohan Campbell, Aliza Vellani, Aaron Douglas, Xavier de Guzman, Bruce Best",Estados Unidos,N/A/10,Netflix
Outlander,2018,16+,4 temporadas,"Acción, Ciencia ficción y fantásticas, Dramas",NA,"Caitriona Balfe, Sam Heughan, Tobias Menzies, Graham McTavish, Duncan Lacroix, Grant O'Rourke, Stephen Walters, Gary Lewis, Lotte Verbeek, Bill Paterson",Estados Unidos,8.4/10,Netflix
Paranormal,2020,16+,1 temporada,"Ciencia ficción y fantásticas, Dramas, Extranjeras",NA,"Ahmed Amin, Razane Jammal, Ayah Samaha, Samaa Ibrahem, Roshdy El Shamy, Reem Abd El Kader",Egipto,9.2/10,Netflix
Amor y anarquía,2020,13+,1 temporada,"Comedias, Dramas, Extranjeras",NA,"Ida Engvoll, Björn Mosten, Carla Sehn, Reine Brynolfsson, Gizem Erdogan, Björn Kjellman, Ruben Lopez, Johannes Kuhnke, Elsa Agemalm Reiland, Benjamin Shaps, Disa Östrand, Ejke Blomberg, Lars Väringer",NA,NA,Netflix
El gordo y el flaco,2018,7+,98 min,"Comedias, Dramas, Extranjeras",Jon S. Baird,"Steve Coogan, John C. Reilly, Nina Arianda, Shirley Henderson, Danny Huston, Rufus Jones","Reino Unido, Canadá, Estados Unidos",7.2/10,Netflix
El comienzo de la vida,2016,7+,96 min,"Documentales, Extranjeras",Estela Renner,NA,Brasil,7.6/10,Netflix
Especial de Heidi: Invierno en Dörfli,2020,TODOS LO,23 min,Para toda la familia,NA,NA,NA,NA,Netflix
Felix Lobrecht: Hype,2020,16+,60 min,Películas,Jan-Peter Horns,Felix Lobrecht,NA,NA,Netflix
Maternidad,2020,13+,127 min,"Dramas, Extranjeras",Tatsushi Omori,"Masami Nagasawa, Sadao Abe, Daiken Okudaira",NA,NA,Netflix
Recuerdos de juventud,2020,13+,1 temporada,"Dramas, Extranjeras, Románticas",NA,"Park Bo-gum, Park So-dam, Byeon Woo-seok, Ha Hee-ra, Shin Ae-ra, Han Jin-hee, Shin Dong-mi, Lee Chang-hoon, Kwon Soo-hyun, Cho Yu-jung, Park Su-young, Seo Sang-won, Lee Jae-won",Corea del Sur,7.5/10,Netflix
